data, nivel, localizacao, metrica, valores, mercado;
2018, Cidade, Aveiro, preco m2, 3.89, arrendamento;
2018, Cidade, Beja, preco m2, 4.09, arrendamento;
2018, Cidade, Braga, preco m2, 4.35, arrendamento;
2018, Cidade, Bragança, preco m2, 2.49, arrendamento;
2018, Cidade, Castelo Branco, preco m2, 3.14, arrendamento;
2018, Cidade, Coimbra, preco m2, 4.17, arrendamento;
2018, Cidade, Évora, preco m2, 5.31, arrendamento;
2018, Cidade, Faial, preco m2, 2.84, arrendamento;
2018, Cidade, Faro, preco m2, 5.52, arrendamento;
2018, Cidade, Guarda, preco m2, 2.90, arrendamento;
2018, Cidade, Leiria, preco m2, 3.80, arrendamento;
2018, Cidade, Lisboa, preco m2, 7, arrendamento;
2018, Cidade, Madeira, preco m2, 5.84, arrendamento;
2018, Cidade, Portalegre, preco m2, 2.79, arrendamento;
2018, Cidade, Porto, preco m2, 5.07, arrendamento;
data, nivel, localizacao, metrica, valores, mercado;
2018, Cidade, Santarém, preco m2, 3.48, arrendamento;
2018, Cidade, São Miguel, preco m2, 3.83, arrendamento;
2018, Cidade, Setúbal, preco m2, 5.14, arrendamento;
2018, Cidade, Terceira, preco m2, 842, arrendamento;
2018, Cidade, Viana do Castelo, preco m2, 4, arrendamento;
2018, Cidade, Vila Real, preco m2, 3.53, arrendamento;
2018, Cidade, Viseu, preco m2, 3.65, arrendamento;
2019, Cidade, Aveiro, preco m2, 4.29, arrendamento;
2019, Cidade, Beja, preco m2, 4.29, arrendamento;
2019, Cidade, Braga, preco m2, 5.26, arrendamento;
2019, Cidade, Bragança, preco m2, 2.63, arrendamento;
2019, Cidade, Castelo Branco, preco m2, 3.14, arrendamento;
2019, Cidade, Coimbra, preco m2, 4.44, arrendamento;
2019, Cidade, Évora, preco m2, 5.23, arrendamento;
2019, Cidade, Faial, preco m2, 2.70, arrendamento;
2019, Cidade, Faro, preco m2, 6.19, arrendamento;
2019, Cidade, Guarda, preco m2, 3.09, arrendamento;
2019, Cidade, Leiria, preco m2, 4, arrendamento;
2019, Cidade, Lisboa, preco m2, 8.07, arrendamento;
2019, Cidade, Madeira, preco m2, 5.99, arrendamento;
2019, Cidade, Portalegre, preco m2, 2.57, arrendamento;
2019, Cidade, Porto, preco m2, 5.75, arrendamento;
2019, Cidade, Santarém, preco m2, 3.85, arrendamento;
2019, Cidade, São Miguel, preco m2, 4.16, arrendamento;
2019, Cidade, Setúbal, preco m2, 6.10, arrendamento;
2019, Cidade, Terceira, preco m2, 827, arrendamento;
2019, Cidade, Viana do Castelo, preco m, 4.48, arrendamento;
2019, Cidade, Vila Real, preco m, 3.71, arrendamento;
2019, Cidade, Viseu, preco m2, 3.94, arrendamento;
2020, Cidade, Aveiro, preco m2, 4.40, arrendamento;
2020, Cidade, Beja, preco m2, 4.39, arrendamento;
2020, Cidade, Braga, preco m2, 5.26, arrendamento;
2020, Cidade, Bragança, preco m2, 2.62, arrendamento;
2020, Cidade, Castelo Branco, preco m2, 3.18, arrendamento;
2020, Cidade, Coimbra, preco m2, 4.45, arrendamento;
2020, Cidade, Évora, preco m2, 5.22, arrendamento;
2020, Cidade, Faial, preco m2, 3.20, arrendamento;
2020, Cidade, Faro, preco m2, 6.31, arrendamento;
2020, Cidade, Guarda, preco m2, 3.20, arrendamento;
2020, Cidade, Leiria, preco m2, 4.16 , arrendamento;
2020, Cidade, Lisboa, preco m2, 8.57, arrendamento;
2020, Cidade, Madeira, preco m2, 5.99, arrendamento;
2020, Cidade, Portalegre, preco m2, 3.41, arrendamento;
2020, Cidade, Porto, preco m2, 6.12, arrendamento;
2020, Cidade, Santarém, preco m2, 4.12, arrendamento;
2020, Cidade, São Miguel, preco m2, 4.01, arrendamento;
2020, Cidade, Setúbal, preco m2, 6.48, arrendamento;
2020, Cidade, Terceira, preco m2, 840, arrendamento;
2020, Cidade, Viana do Castelo, preco m2, 4.73, arrendamento;
2020, Cidade, Vila Real, preco m2, 3.90, arrendamento;
2020, Cidade, Viseu, preco m2, 4.07, arrendamento;
2021, Cidade, Aveiro, preco m2, 4.62, arrendamento;
2021, Cidade, Beja, preco m2, 4.44, arrendamento;
2021, Cidade, Braga, preco m2, 5.34, arrendamento;
2021, Cidade, Bragança, preco m2, 2.78, arrendamento;
2021, Cidade, Castelo Branco, preco m2, 3.43, arrendamento;
2021, Cidade, Coimbra, preco m2, 4.64, arrendamento;
2021, Cidade, Évora, preco m2, 5.46, arrendamento;
2021, Cidade, Faial, preco m2, 3.56, arrendamento;
2021, Cidade, Faro, preco m2, 6.36 , arrendamento;
2021, Cidade, Guarda, preco m2, 3.30, arrendamento;
2021, Cidade, Leiria, preco m2, 4.34 , arrendamento;
2021, Cidade, Lisboa, preco m2, 8.90, arrendamento;
2021, Cidade, Madeira, preco m2, 6.33, arrendamento;
2021, Cidade, Portalegre, preco m2, 3.06, arrendamento;
2021, Cidade, Porto, preco m2, 6.51, arrendamento;
2021, Cidade, Santarém, preco m2, 4.06, arrendamento;
2021, Cidade, São Miguel, preco m2, 4.23, arrendamento;
2021, Cidade, Setúbal, preco m2, 6.85, arrendamento;
2021, Cidade, Terceira, preco m2, 886, arrendamento;
2021, Cidade, Viana do Castelo, preco m2, 4.88, arrendamento;
2021, Cidade, Vila Real, preco m2, 3.88, arrendamento;
2021, Cidade, Viseu, preco m2, 4.30, arrendamento;
2022, Cidade, Aveiro, preco m2, 5.19, arrendamento;
2022, Cidade, Beja, preco m2, 4.82, arrendamento;
2022, Cidade, Braga, preco m2, 6.02, arrendamento;
2022, Cidade, Bragança, preco m2, 2.83, arrendamento;
2022, Cidade, Castelo Branco, preco m2, 3.54, arrendamento;
2022, Cidade, Coimbra, preco m2, 4.88, arrendamento;
2022, Cidade, Évora, preco m2, 6.16, arrendamento;
2022, Cidade, Faial, preco m2, 4.13, arrendamento;
2022, Cidade, Faro, preco m2, 7.07, arrendamento;
2022, Cidade, Guarda, preco m2, 3.50, arrendamento;
2022, Cidade, Leiria, preco m2, 4.74, arrendamento;
2022, Cidade, Lisboa, preco m2, 9.86, arrendamento;
2022, Cidade, Madeira, preco m2, 7.35, arrendamento;
2022, Cidade, Portalegre, preco m2, 3.70, arrendamento;
2022, Cidade, Porto, preco m2, 7.14, arrendamento;
2022, Cidade, Santarém, preco m2, 4.75, arrendamento;
2022, Cidade, São Miguel, preco m2, 4.48, arrendamento;
2022, Cidade, Setúbal, preco m2, 7.58, arrendamento;
2022, Cidade, Terceira, preco m2, 1.046, arrendamento;
2022, Cidade, Viana do Castelo, preco m2, 5.48 , arrendamento;
2022, Cidade, Vila Real, preco m2, 4.38, arrendamento;
2022, Cidade, Viseu, preco m2, 4.89, arrendamento;
2023, Cidade, Aveiro, preco m2, 5.77, arrendamento;
2023, Cidade, Beja, preco m2, 5.69, arrendamento;
2023, Cidade, Braga, preco m2, 6.98, arrendamento;
2023, Cidade, Bragança, preco m2, 3.19, arrendamento;
2023, Cidade, Castelo Branco, preco m2, 4, arrendamento;
2023, Cidade, Coimbra, preco m2, 5.62, arrendamento;
2023, Cidade, Évora, preco m2, 6.83 , arrendamento;
2023, Cidade, Faial, preco m2, 4.07, arrendamento;
2023, Cidade, Faro, preco m2, 7.25, arrendamento;
2023, Cidade, Guarda, preco m2, 4.01 , arrendamento;
2023, Cidade, Leiria, preco m2, 5.30, arrendamento;
2023, Cidade, Lisboa, preco m2, 11.05 , arrendamento;
2023, Cidade, Madeira, preco m2, 8.33, arrendamento;
2023, Cidade, Portalegre, preco m2, 3.51, arrendamento;
2023, Cidade, Porto, preco m2, 7.98, arrendamento;
2023, Cidade, Santarém, preco m2, 5.63, arrendamento;
2023, Cidade, São Miguel, preco m2, 4.79, arrendamento;
2023, Cidade, Setúbal, preco m2, 8.95, arrendamento;
2023, Cidade, Terceira, preco m2, 1.153, arrendamento;
2023, Cidade, Viana do Castelo, preco m2, 6.31, arrendamento;
2023, Cidade, Vila Real, preco m2, 4.68, arrendamento;
2023, Cidade, Viseu, preco m2, 5.33, arrendamento;