data, nivel, localizacao, metrica, valores, população anual;
2018, sem abrigo, Aveiro, PSSA, 54, 698457,5;
2018, sem abrigo, Beja, PSSA, 24, 144465,5;
2018, sem abrigo, Braga, PSSA, 102, 838637,5;
2018, sem abrigo, Bragança, PSSA, 19, 125729,5;
2018, sem abrigo, Castelo Branco, PSSA, 0, 180772,5;
2018, sem abrigo, Coimbra, PSSA, 200, 412047,5;
2018, sem abrigo, Évora, PSSA, 21, 155312,5;
2018, sem abrigo, Faro, PSSA, 61, 457855;
2018, sem abrigo, Guarda, PSSA, 0, 146877,5;
2018, sem abrigo, Leiria, PSSA, 31, 456022,5;
2018, sem abrigo, Lisboa, PSSA, 2473, 2268558;
2018, sem abrigo, Portalegre, PSSA, 19, 107954;
2018, sem abrigo, Porto, PSSA, 560, 1788529,5;
2018, sem abrigo, Santarém, PSSA, 23, 426873,5;
2018, sem abrigo, Setúbal, PSSA,161, 861549,5;
2018, sem abrigo, Viana do Castelo, PSSA, 56, 232401,5;
2018, sem abrigo, Vila Real, PSSA, 5, 189417;
2018, sem abrigo, Viseu, PSSA, 0, 354039,5;
2019, sem abrigo, Aveiro, PSSA, 75, 700087,5;
2019, sem abrigo, Beja, PSSA, 54, 144516;
2019, sem abrigo, Braga, PSSA, 148, 842266;
2019, sem abrigo, Bragança, PSSA, 17, 124933,5;
2019, sem abrigo, Castelo Branco, PSSA, 0, 179570,5;
2019, sem abrigo, Coimbra, PSSA, 433, 411215;
2019, sem abrigo, Évora, PSSA, 33, 154272,5;
2019, sem abrigo, Faro, PSSA, 34, 462603,5;
2019, sem abrigo, Guarda, PSSA, 0, 145285,5;
2019, sem abrigo, Leiria, PSSA, 16, 456227,5;
2019, sem abrigo, Lisboa, PSSA, 3145, 2282310,5;
2019, sem abrigo, Portalegre, PSSA, 18, 106776;
2019, sem abrigo, Porto, PSSA, 592, 1792174;
2019, sem abrigo, Santarém, PSSA, 21, 425054;
2019, sem abrigo, Setúbal, PSSA, NA, 866508;
2019, sem abrigo, Viana do Castelo, PSSA, 41, 232004,5;
2019, sem abrigo, Vila Real, PSSA, 5, 187908;
2019, sem abrigo, Viseu, PSSA, 0, 352707,5;
2020, sem abrigo, Aveiro, PSSA, 57, 702802,5;
2020, sem abrigo, Beja, PSSA, 324, 145119,5;
2020, sem abrigo, Braga, PSSA, 80, 847164,5;
2020, sem abrigo, Bragança, PSSA, 14, 124047;
2020, sem abrigo, Castelo Branco, PSSA,0, 179016;
2020, sem abrigo, Coimbra, PSSA, 126, 411067,5;
2020, sem abrigo, Évora, PSSA, 25, 153636;
2020, sem abrigo, Faro, PSSA, 113, 467751;
2020, sem abrigo, Guarda, PSSA, 0, 144308;
2020, sem abrigo, Leiria, PSSA, 18, 459071,5;
2020, sem abrigo, Lisboa, PSSA, 3780, 2289222;
2020, sem abrigo, Portalegre, PSSA, 20, 105950;
2020, sem abrigo, Porto, PSSA, 590, 1793813;
2020, sem abrigo, Santarém, PSSA, 36, 426110,5;
2020, sem abrigo, Setúbal, PSSA, 166, 875174;
2020, sem abrigo, Viana do Castelo, PSSA, 36, 232234;
2020, sem abrigo, Vila Real, PSSA, 0, 186861;
2020, sem abrigo, Viseu, PSSA, NA, 352827;
2021, sem abrigo, Aveiro, PSSA, 54, 706448;
2021, sem abrigo, Beja, PSSA, 256, 145866,5;
2021, sem abrigo, Braga, PSSA, 115, 849837,5;
2021, sem abrigo, Bragança, PSSA, 15, 122964;
2021, sem abrigo, Castelo Branco, PSSA, 0, 178767;
2021, sem abrigo, Coimbra, PSSA, 154, 411170;
2021, sem abrigo, Évora, PSSA,159, 153452,5;
2021, sem abrigo, Faro, PSSA, 151, 469937,5;
2021, sem abrigo, Guarda, PSSA, 0, 143416;
2021, sem abrigo, Leiria, PSSA, 64, 463126;
2021, sem abrigo, Lisboa, PSSA, 3328, 2287054,5;
2021, sem abrigo, Portalegre, PSSA, 21, 105353,5;
2021, sem abrigo, Porto, PSSA, 730, 1797927;
2021, sem abrigo, Santarém, PSSA, 26, 429567,5;
2021, sem abrigo, Setúbal, PSSA, 155, 881403;
2021, sem abrigo, Viana do Castelo, PSSA, 30, 232163;
2021, sem abrigo, Vila Real, PSSA, 0, 185808,5;
2021, sem abrigo, Viseu, PSSA, 0, 352943,5;
2022, sem abrigo, Aveiro, PSSA, 68, 711758,5;
2022, sem abrigo, Beja, PSSA, 663, 146899,5;
2022, sem abrigo, Braga, PSSA, 161, 853108,5;
2022, sem abrigo, Bragança, PSSA, 26, 122412,5;
2022, sem abrigo, Castelo Branco, PSSA,0, 178462;
2022, sem abrigo, Coimbra, PSSA, 242, 412194;
2022, sem abrigo, Évora, PSSA, 99, 153331;
2022, sem abrigo, Faro, PSSA, NA, 474300,5;
2022, sem abrigo, Guarda, PSSA, 0, 142247;
2022, sem abrigo, Leiria, PSSA, 78, 467629,5;
2022, sem abrigo, Lisboa, PSSA, 3138, 2304554;
2022, sem abrigo, Portalegre, PSSA, 18, 104667,5;
2022, sem abrigo, Porto, PSSA, 647, 1814207,5;
2022, sem abrigo, Santarém, PSSA, 38, 433566,5;
2022, sem abrigo, Setúbal, PSSA, 94, 887120;
2022, sem abrigo, Viana do Castelo, PSSA, 32, 232278;
2022, sem abrigo, Vila Real, PSSA, 46, 184923;
2022, sem abrigo, Viseu, PSSA, 4, 352368,5;
2023, sem abrigo, Aveiro, PSSA, 89, 720038;
2023, sem abrigo, Beja, PSSA, 597, 148163,5;
2023, sem abrigo, Braga, PSSA, 128, 859818;
2023, sem abrigo, Bragança, PSSA, 29, 122556;
2023, sem abrigo, Castelo Branco, PSSA, 0, 178934;
2023, sem abrigo, Coimbra, PSSA, 272, 415507;
2023, sem abrigo, Évora, PSSA, 135, 153315;
2023, sem abrigo, Faro, PSSA, 127, 481370;
2023, sem abrigo, Guarda, PSSA, 0, 141810,5;
2023, sem abrigo, Leiria, PSSA, 44, 474675,5;
2023, sem abrigo, Lisboa, PSSA, 3378, 2338553;
2023, sem abrigo, Portalegre, PSSA, 18, 104192,5;
2023, sem abrigo, Porto, PSSA, 597, 1835685;
2023, sem abrigo, Santarém, PSSA, 46, 438377,5;
2023, sem abrigo, Setúbal, PSSA, 103, 897257,5;
2023, sem abrigo, Viana do Castelo, PSSA, 38, 233444,5;
2023, sem abrigo, Vila Real, PSSA, 26, 184892;
2023, sem abrigo, Viseu, PSSA, 7, 353663;
